省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
湖北,荆门,治愈,0,0,0,0,0,0,0,0,1,3,6,6,16,21,24,36,48,63,69,84,93,105,112,117,132,143,181
湖北,荆门,死亡,0,0,1,3,3,4,4,5,5,7,11,14,16,17,17,18,19,20,21,24,24,25,28,30,33,33,33
湖北,咸宁,确诊,0,0,43,64,91,112,130,166,206,246,296,348,384,399,443,476,493,507,515,525,534,732,840,852,861,868,832
湖北,咸宁,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,咸宁,治愈,0,0,0,0,0,0,0,0,1,1,1,1,2,5,8,16,23,44,56,76,85,99,127,152,181,206,225
湖北,咸宁,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,5,6,7,8,8,8,10,10,10
湖北,十堰,确诊,1,5,20,40,65,88,119,150,177,212,256,291,318,353,395,438,467,481,505,536,562,586,597,602,612,626,638
湖北,十堰,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,十堰,治愈,0,0,0,0,0,0,0,0,0,1,2,6,9,20,28,40,40,46,64,79,81,89,101,116,126,144,164
湖北,十堰,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2
湖北,仙桃,确诊,2,10,11,12,27,32,55,90,97,140,169,188,225,265,307,359,379,416,438,460,480,500,514,523,531,544,562
湖北,仙桃,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,仙桃,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,14,16,41,41,43,48,58,63,87,107,121,149
湖北,仙桃,死亡,0,0,0,0,0,0,0,1,1,3,3,3,4,5,5,5,5,7,11,13,16,17,17,17,19,19,19
湖北,天门,确诊,0,3,5,13,23,34,44,67,82,99,115,117,128,138,163,179,197,217,261,293,362,416,422,447,485,500,486
湖北,天门,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,天门,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,12,12,13,21,21,27,39,55,73
湖北,天门,死亡,0,0,0,0,2,3,3,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11
湖北,恩施州,确诊,0,11,17,25,38,51,66,75,87,105,111,123,138,144,157,160,171,187,195,203,229,237,244,247,249,250,249
湖北,恩施州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,恩施州,治愈,0,0,0,0,0,0,0,0,1,4,5,5,10,10,13,20,23,30,33,45,48,60,75,76,82,90,96
湖北,恩施州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,3
湖北,潜江,确诊,0,0,0,5,7,8,10,12,27,35,35,44,54,64,74,80,82,85,90,90,94,104,116,166,182,185,185
湖北,潜江,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,潜江,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,8,8,11,12,12,18,27,40
